question,answer,operation
Ethan has 24 books and wants to divide them equally among 6 friends. How many books does each friend get?,4,division
"If Sara had 56 balls and gave away 23, how many balls does Sara have left?",33,subtraction
"If Liam had 42 books and got another 36 books, how many books does Liam have now?",78,addition
Ava has 70 coins and wants to divide them equally among 10 friends. How many coins does each friend get?,7,division
"If Jay had 54 coins and gave away 26, how many coins does Jay have left?",28,subtraction
"If Noah had 36 pencils and got another 20 pencils, how many pencils does Noah have now?",56,addition
"Mia has 9 boxes of pencils, each containing 12 pencils. How many pencils does Mia have in total?",108,multiplication
Sara has 70 coins and wants to divide them equally among 7 friends. How many coins does each friend get?,10,division
Jay has 18 marbles and wants to divide them equally among 6 friends. How many marbles does each friend get?,3,division
"If Ethan had 24 oranges and got another 40 oranges, how many oranges does Ethan have now?",64,addition
Mia has 40 marbles and wants to divide them equally among 8 friends. How many marbles does each friend get?,5,division
Noah has 25 balls and wants to divide them equally among 5 friends. How many balls does each friend get?,5,division
Sara has 40 marbles and wants to divide them equally among 5 friends. How many marbles does each friend get?,8,division
"If Emma had 94 books and gave away 9, how many books does Emma have left?",85,subtraction
"If Ethan had 86 candies and gave away 83, how many candies does Ethan have left?",3,subtraction
"If Emma had 30 apples and got another 7 apples, how many apples does Emma have now?",37,addition
"If Sara had 1 pencils and got another 19 pencils, how many pencils does Sara have now?",20,addition
"If Ava had 46 marbles and got another 44 marbles, how many marbles does Ava have now?",90,addition
"If Ava had 29 pencils and got another 46 pencils, how many pencils does Ava have now?",75,addition
Ethan has 100 balls and wants to divide them equally among 10 friends. How many balls does each friend get?,10,division
"Mia has 3 boxes of coins, each containing 11 coins. How many coins does Mia have in total?",33,multiplication
"If Sara had 22 marbles and got another 38 marbles, how many marbles does Sara have now?",60,addition
"If Sara had 44 candies and got another 36 candies, how many candies does Sara have now?",80,addition
"Mia has 8 boxes of marbles, each containing 11 marbles. How many marbles does Mia have in total?",88,multiplication
"Noah has 8 boxes of candies, each containing 2 candies. How many candies does Noah have in total?",16,multiplication
"If Ava had 15 marbles and got another 20 marbles, how many marbles does Ava have now?",35,addition
"If Jay had 47 marbles and got another 18 marbles, how many marbles does Jay have now?",65,addition
"If Liam had 54 candies and gave away 40, how many candies does Liam have left?",14,subtraction
Sara has 30 books and wants to divide them equally among 6 friends. How many books does each friend get?,5,division
"If Noah had 42 oranges and got another 34 oranges, how many oranges does Noah have now?",76,addition
"Sara has 4 boxes of books, each containing 6 books. How many books does Sara have in total?",24,multiplication
"If Sara had 37 balls and gave away 14, how many balls does Sara have left?",23,subtraction
Ava has 40 pencils and wants to divide them equally among 4 friends. How many pencils does each friend get?,10,division
"If Mia had 61 marbles and gave away 35, how many marbles does Mia have left?",26,subtraction
"Ethan has 11 boxes of oranges, each containing 9 oranges. How many oranges does Ethan have in total?",99,multiplication
"If Mia had 58 oranges and gave away 15, how many oranges does Mia have left?",43,subtraction
Liam has 27 candies and wants to divide them equally among 3 friends. How many candies does each friend get?,9,division
"Ava has 12 boxes of candies, each containing 6 candies. How many candies does Ava have in total?",72,multiplication
"Ava has 6 boxes of oranges, each containing 6 oranges. How many oranges does Ava have in total?",36,multiplication
"If Emma had 19 marbles and got another 27 marbles, how many marbles does Emma have now?",46,addition
"Jay has 2 boxes of candies, each containing 10 candies. How many candies does Jay have in total?",20,multiplication
"If Ava had 36 apples and got another 18 apples, how many apples does Ava have now?",54,addition
"If Mia had 41 coins and got another 33 coins, how many coins does Mia have now?",74,addition
"Ethan has 11 boxes of oranges, each containing 7 oranges. How many oranges does Ethan have in total?",77,multiplication
"If Ethan had 80 oranges and gave away 19, how many oranges does Ethan have left?",61,subtraction
"If Noah had 8 marbles and got another 34 marbles, how many marbles does Noah have now?",42,addition
"If Ethan had 28 candies and got another 34 candies, how many candies does Ethan have now?",62,addition
"Mia has 2 boxes of candies, each containing 3 candies. How many candies does Mia have in total?",6,multiplication
Noah has 36 marbles and wants to divide them equally among 4 friends. How many marbles does each friend get?,9,division
"If Liam had 25 apples and got another 3 apples, how many apples does Liam have now?",28,addition
Noah has 24 oranges and wants to divide them equally among 6 friends. How many oranges does each friend get?,4,division
"If Sara had 72 coins and gave away 42, how many coins does Sara have left?",30,subtraction
"If Emma had 95 balls and gave away 46, how many balls does Emma have left?",49,subtraction
"Ava has 3 boxes of balls, each containing 12 balls. How many balls does Ava have in total?",36,multiplication
"If Mia had 50 books and got another 6 books, how many books does Mia have now?",56,addition
"Ava has 11 boxes of coins, each containing 3 coins. How many coins does Ava have in total?",33,multiplication
"If Sara had 46 coins and gave away 5, how many coins does Sara have left?",41,subtraction
"Mia has 7 boxes of balls, each containing 9 balls. How many balls does Mia have in total?",63,multiplication
"Sara has 11 boxes of coins, each containing 7 coins. How many coins does Sara have in total?",77,multiplication
"Ava has 11 boxes of coins, each containing 5 coins. How many coins does Ava have in total?",55,multiplication
"Mia has 2 boxes of pencils, each containing 11 pencils. How many pencils does Mia have in total?",22,multiplication
"Ethan has 12 boxes of candies, each containing 11 candies. How many candies does Ethan have in total?",132,multiplication
Ava has 72 marbles and wants to divide them equally among 8 friends. How many marbles does each friend get?,9,division
"Mia has 2 boxes of candies, each containing 10 candies. How many candies does Mia have in total?",20,multiplication
Sara has 24 apples and wants to divide them equally among 4 friends. How many apples does each friend get?,6,division
"If Sara had 17 balls and got another 50 balls, how many balls does Sara have now?",67,addition
"If Noah had 65 books and gave away 4, how many books does Noah have left?",61,subtraction
Emma has 24 marbles and wants to divide them equally among 8 friends. How many marbles does each friend get?,3,division
"If Noah had 46 coins and got another 16 coins, how many coins does Noah have now?",62,addition
"If Jay had 30 marbles and got another 29 marbles, how many marbles does Jay have now?",59,addition
Jay has 20 pencils and wants to divide them equally among 5 friends. How many pencils does each friend get?,4,division
Sara has 21 candies and wants to divide them equally among 7 friends. How many candies does each friend get?,3,division
"If Liam had 70 balls and gave away 65, how many balls does Liam have left?",5,subtraction
"If Noah had 22 marbles and got another 33 marbles, how many marbles does Noah have now?",55,addition
Liam has 8 coins and wants to divide them equally among 2 friends. How many coins does each friend get?,4,division
Sara has 24 books and wants to divide them equally among 3 friends. How many books does each friend get?,8,division
"Jay has 9 boxes of marbles, each containing 11 marbles. How many marbles does Jay have in total?",99,multiplication
"If Liam had 38 oranges and gave away 11, how many oranges does Liam have left?",27,subtraction
Emma has 27 balls and wants to divide them equally among 9 friends. How many balls does each friend get?,3,division
Ava has 12 balls and wants to divide them equally among 3 friends. How many balls does each friend get?,4,division
"If Liam had 94 apples and gave away 1, how many apples does Liam have left?",93,subtraction
Emma has 6 apples and wants to divide them equally among 2 friends. How many apples does each friend get?,3,division
Noah has 8 marbles and wants to divide them equally among 2 friends. How many marbles does each friend get?,4,division
Jay has 27 pencils and wants to divide them equally among 3 friends. How many pencils does each friend get?,9,division
Emma has 27 books and wants to divide them equally among 3 friends. How many books does each friend get?,9,division
"Ethan has 6 boxes of apples, each containing 10 apples. How many apples does Ethan have in total?",60,multiplication
Emma has 40 books and wants to divide them equally among 5 friends. How many books does each friend get?,8,division
"If Noah had 95 pencils and gave away 92, how many pencils does Noah have left?",3,subtraction
Jay has 9 oranges and wants to divide them equally among 3 friends. How many oranges does each friend get?,3,division
"If Liam had 59 pencils and gave away 51, how many pencils does Liam have left?",8,subtraction
"If Ethan had 31 marbles and gave away 15, how many marbles does Ethan have left?",16,subtraction
Mia has 28 candies and wants to divide them equally among 4 friends. How many candies does each friend get?,7,division
"Emma has 6 boxes of books, each containing 8 books. How many books does Emma have in total?",48,multiplication
"If Sara had 7 balls and got another 8 balls, how many balls does Sara have now?",15,addition
Ava has 8 marbles and wants to divide them equally among 2 friends. How many marbles does each friend get?,4,division
"If Ava had 40 books and got another 43 books, how many books does Ava have now?",83,addition
"If Ethan had 12 books and got another 43 books, how many books does Ethan have now?",55,addition
"If Noah had 39 candies and got another 11 candies, how many candies does Noah have now?",50,addition
Ava has 35 balls and wants to divide them equally among 5 friends. How many balls does each friend get?,7,division
"If Liam had 36 pencils and got another 3 pencils, how many pencils does Liam have now?",39,addition
"If Sara had 12 apples and got another 26 apples, how many apples does Sara have now?",38,addition
"If Sara had 29 marbles and gave away 3, how many marbles does Sara have left?",26,subtraction
"Ethan has 7 boxes of marbles, each containing 9 marbles. How many marbles does Ethan have in total?",63,multiplication
Ethan has 72 candies and wants to divide them equally among 9 friends. How many candies does each friend get?,8,division
"If Mia had 17 marbles and got another 26 marbles, how many marbles does Mia have now?",43,addition
"Noah has 2 boxes of oranges, each containing 9 oranges. How many oranges does Noah have in total?",18,multiplication
"If Ava had 31 pencils and got another 22 pencils, how many pencils does Ava have now?",53,addition
"If Noah had 40 balls and gave away 9, how many balls does Noah have left?",31,subtraction
Sara has 40 pencils and wants to divide them equally among 5 friends. How many pencils does each friend get?,8,division
"If Liam had 15 oranges and got another 42 oranges, how many oranges does Liam have now?",57,addition
Ava has 90 marbles and wants to divide them equally among 9 friends. How many marbles does each friend get?,10,division
"If Liam had 47 oranges and gave away 31, how many oranges does Liam have left?",16,subtraction
Noah has 18 balls and wants to divide them equally among 3 friends. How many balls does each friend get?,6,division
Ava has 100 candies and wants to divide them equally among 10 friends. How many candies does each friend get?,10,division
Emma has 30 oranges and wants to divide them equally among 6 friends. How many oranges does each friend get?,5,division
"If Jay had 35 books and got another 28 books, how many books does Jay have now?",63,addition
Ava has 10 candies and wants to divide them equally among 5 friends. How many candies does each friend get?,2,division
"If Ava had 13 oranges and got another 18 oranges, how many oranges does Ava have now?",31,addition
Ava has 90 marbles and wants to divide them equally among 10 friends. How many marbles does each friend get?,9,division
"Ethan has 4 boxes of apples, each containing 11 apples. How many apples does Ethan have in total?",44,multiplication
"Sara has 6 boxes of oranges, each containing 10 oranges. How many oranges does Sara have in total?",60,multiplication
"If Liam had 19 coins and gave away 17, how many coins does Liam have left?",2,subtraction
Noah has 12 books and wants to divide them equally among 2 friends. How many books does each friend get?,6,division
"If Sara had 1 balls and got another 3 balls, how many balls does Sara have now?",4,addition
Jay has 60 books and wants to divide them equally among 10 friends. How many books does each friend get?,6,division
"Jay has 5 boxes of apples, each containing 5 apples. How many apples does Jay have in total?",25,multiplication
"If Liam had 55 apples and gave away 24, how many apples does Liam have left?",31,subtraction
"Ethan has 8 boxes of books, each containing 9 books. How many books does Ethan have in total?",72,multiplication
Ava has 40 candies and wants to divide them equally among 10 friends. How many candies does each friend get?,4,division
"If Mia had 17 oranges and got another 9 oranges, how many oranges does Mia have now?",26,addition
Sara has 28 oranges and wants to divide them equally among 7 friends. How many oranges does each friend get?,4,division
"Jay has 4 boxes of books, each containing 4 books. How many books does Jay have in total?",16,multiplication
"Ava has 4 boxes of marbles, each containing 2 marbles. How many marbles does Ava have in total?",8,multiplication
"Liam has 2 boxes of apples, each containing 3 apples. How many apples does Liam have in total?",6,multiplication
Noah has 100 pencils and wants to divide them equally among 10 friends. How many pencils does each friend get?,10,division
"Jay has 8 boxes of marbles, each containing 12 marbles. How many marbles does Jay have in total?",96,multiplication
"If Mia had 40 balls and got another 5 balls, how many balls does Mia have now?",45,addition
Liam has 6 apples and wants to divide them equally among 3 friends. How many apples does each friend get?,2,division
Liam has 8 marbles and wants to divide them equally among 4 friends. How many marbles does each friend get?,2,division
"If Liam had 40 marbles and got another 27 marbles, how many marbles does Liam have now?",67,addition
"If Emma had 83 candies and gave away 80, how many candies does Emma have left?",3,subtraction
"Noah has 5 boxes of apples, each containing 3 apples. How many apples does Noah have in total?",15,multiplication
Sara has 36 candies and wants to divide them equally among 6 friends. How many candies does each friend get?,6,division
"If Ethan had 49 pencils and gave away 14, how many pencils does Ethan have left?",35,subtraction
"If Mia had 7 apples and got another 41 apples, how many apples does Mia have now?",48,addition
"If Ava had 59 marbles and gave away 22, how many marbles does Ava have left?",37,subtraction
"Ethan has 3 boxes of apples, each containing 6 apples. How many apples does Ethan have in total?",18,multiplication
"If Emma had 37 apples and got another 30 apples, how many apples does Emma have now?",67,addition
"If Mia had 14 pencils and got another 43 pencils, how many pencils does Mia have now?",57,addition
"If Noah had 61 marbles and gave away 6, how many marbles does Noah have left?",55,subtraction
"If Ava had 5 books and got another 35 books, how many books does Ava have now?",40,addition
"If Noah had 36 marbles and gave away 1, how many marbles does Noah have left?",35,subtraction
Noah has 8 oranges and wants to divide them equally among 4 friends. How many oranges does each friend get?,2,division
"Emma has 9 boxes of balls, each containing 8 balls. How many balls does Emma have in total?",72,multiplication
"If Liam had 94 candies and gave away 34, how many candies does Liam have left?",60,subtraction
"If Mia had 22 balls and got another 35 balls, how many balls does Mia have now?",57,addition
Emma has 60 pencils and wants to divide them equally among 6 friends. How many pencils does each friend get?,10,division
"If Liam had 24 marbles and got another 43 marbles, how many marbles does Liam have now?",67,addition
Sara has 81 books and wants to divide them equally among 9 friends. How many books does each friend get?,9,division
"If Sara had 77 marbles and gave away 63, how many marbles does Sara have left?",14,subtraction
"If Sara had 19 books and got another 29 books, how many books does Sara have now?",48,addition
"If Ethan had 50 oranges and got another 43 oranges, how many oranges does Ethan have now?",93,addition
Mia has 15 balls and wants to divide them equally among 3 friends. How many balls does each friend get?,5,division
Ethan has 40 candies and wants to divide them equally among 8 friends. How many candies does each friend get?,5,division
Sara has 24 oranges and wants to divide them equally among 6 friends. How many oranges does each friend get?,4,division
Noah has 12 pencils and wants to divide them equally among 6 friends. How many pencils does each friend get?,2,division
Jay has 63 apples and wants to divide them equally among 9 friends. How many apples does each friend get?,7,division
"If Ava had 79 books and gave away 28, how many books does Ava have left?",51,subtraction
Ethan has 18 marbles and wants to divide them equally among 6 friends. How many marbles does each friend get?,3,division
"If Jay had 63 books and gave away 35, how many books does Jay have left?",28,subtraction
"If Mia had 25 oranges and got another 9 oranges, how many oranges does Mia have now?",34,addition
"If Emma had 42 books and gave away 31, how many books does Emma have left?",11,subtraction
Noah has 90 coins and wants to divide them equally among 9 friends. How many coins does each friend get?,10,division
"If Jay had 16 marbles and got another 1 marbles, how many marbles does Jay have now?",17,addition
Mia has 4 books and wants to divide them equally among 2 friends. How many books does each friend get?,2,division
"Liam has 8 boxes of marbles, each containing 3 marbles. How many marbles does Liam have in total?",24,multiplication
"If Ethan had 15 apples and got another 1 apples, how many apples does Ethan have now?",16,addition
"If Emma had 1 pencils and got another 37 pencils, how many pencils does Emma have now?",38,addition
"If Ethan had 21 pencils and got another 13 pencils, how many pencils does Ethan have now?",34,addition
"Mia has 5 boxes of coins, each containing 11 coins. How many coins does Mia have in total?",55,multiplication
Ethan has 32 marbles and wants to divide them equally among 8 friends. How many marbles does each friend get?,4,division
"If Jay had 37 apples and got another 19 apples, how many apples does Jay have now?",56,addition
"If Emma had 39 coins and got another 23 coins, how many coins does Emma have now?",62,addition
"Emma has 12 boxes of balls, each containing 6 balls. How many balls does Emma have in total?",72,multiplication
"If Ethan had 38 books and got another 10 books, how many books does Ethan have now?",48,addition
Jay has 14 books and wants to divide them equally among 2 friends. How many books does each friend get?,7,division
"If Emma had 15 marbles and gave away 7, how many marbles does Emma have left?",8,subtraction
"If Jay had 35 oranges and got another 35 oranges, how many oranges does Jay have now?",70,addition
Liam has 40 coins and wants to divide them equally among 10 friends. How many coins does each friend get?,4,division
"If Ethan had 38 marbles and gave away 25, how many marbles does Ethan have left?",13,subtraction
"Sara has 11 boxes of candies, each containing 6 candies. How many candies does Sara have in total?",66,multiplication
"If Ethan had 19 marbles and gave away 4, how many marbles does Ethan have left?",15,subtraction
"If Emma had 40 coins and got another 50 coins, how many coins does Emma have now?",90,addition
"Noah has 6 boxes of candies, each containing 10 candies. How many candies does Noah have in total?",60,multiplication
"If Sara had 58 oranges and gave away 36, how many oranges does Sara have left?",22,subtraction
"If Mia had 8 candies and got another 26 candies, how many candies does Mia have now?",34,addition
"If Jay had 15 apples and got another 23 apples, how many apples does Jay have now?",38,addition
"Ethan has 5 boxes of balls, each containing 4 balls. How many balls does Ethan have in total?",20,multiplication
Ethan has 6 books and wants to divide them equally among 2 friends. How many books does each friend get?,3,division
"If Ava had 36 pencils and gave away 16, how many pencils does Ava have left?",20,subtraction
"Ava has 4 boxes of pencils, each containing 12 pencils. How many pencils does Ava have in total?",48,multiplication
"If Noah had 84 apples and gave away 52, how many apples does Noah have left?",32,subtraction
"Noah has 7 boxes of oranges, each containing 8 oranges. How many oranges does Noah have in total?",56,multiplication
Mia has 14 apples and wants to divide them equally among 2 friends. How many apples does each friend get?,7,division
"If Liam had 11 oranges and gave away 5, how many oranges does Liam have left?",6,subtraction
"If Sara had 29 pencils and got another 9 pencils, how many pencils does Sara have now?",38,addition
"If Emma had 28 candies and got another 31 candies, how many candies does Emma have now?",59,addition
"If Noah had 43 books and gave away 15, how many books does Noah have left?",28,subtraction
"If Emma had 20 books and got another 44 books, how many books does Emma have now?",64,addition
"Ethan has 3 boxes of books, each containing 9 books. How many books does Ethan have in total?",27,multiplication
Liam has 72 apples and wants to divide them equally among 8 friends. How many apples does each friend get?,9,division
"If Noah had 7 oranges and got another 31 oranges, how many oranges does Noah have now?",38,addition
"If Noah had 36 balls and got another 29 balls, how many balls does Noah have now?",65,addition
"If Ethan had 45 apples and gave away 18, how many apples does Ethan have left?",27,subtraction
"If Ethan had 11 balls and got another 41 balls, how many balls does Ethan have now?",52,addition
"If Emma had 60 candies and gave away 52, how many candies does Emma have left?",8,subtraction
Noah has 30 marbles and wants to divide them equally among 10 friends. How many marbles does each friend get?,3,division
Liam has 20 candies and wants to divide them equally among 2 friends. How many candies does each friend get?,10,division
Sara has 21 marbles and wants to divide them equally among 3 friends. How many marbles does each friend get?,7,division
"Ava has 10 boxes of books, each containing 3 books. How many books does Ava have in total?",30,multiplication
Jay has 56 apples and wants to divide them equally among 7 friends. How many apples does each friend get?,8,division
Ethan has 21 pencils and wants to divide them equally among 7 friends. How many pencils does each friend get?,3,division
Emma has 36 balls and wants to divide them equally among 6 friends. How many balls does each friend get?,6,division
"If Mia had 50 balls and got another 42 balls, how many balls does Mia have now?",92,addition
"Ethan has 2 boxes of oranges, each containing 10 oranges. How many oranges does Ethan have in total?",20,multiplication
"Ethan has 9 boxes of oranges, each containing 12 oranges. How many oranges does Ethan have in total?",108,multiplication
"Mia has 10 boxes of apples, each containing 9 apples. How many apples does Mia have in total?",90,multiplication
Sara has 20 apples and wants to divide them equally among 10 friends. How many apples does each friend get?,2,division
"Mia has 7 boxes of books, each containing 5 books. How many books does Mia have in total?",35,multiplication
"Emma has 7 boxes of apples, each containing 4 apples. How many apples does Emma have in total?",28,multiplication
"If Sara had 32 pencils and got another 48 pencils, how many pencils does Sara have now?",80,addition
"If Sara had 27 pencils and gave away 17, how many pencils does Sara have left?",10,subtraction
"If Mia had 27 candies and gave away 25, how many candies does Mia have left?",2,subtraction
"Liam has 2 boxes of pencils, each containing 10 pencils. How many pencils does Liam have in total?",20,multiplication
"Ava has 12 boxes of marbles, each containing 9 marbles. How many marbles does Ava have in total?",108,multiplication
"If Ethan had 30 books and got another 38 books, how many books does Ethan have now?",68,addition
"Sara has 3 boxes of pencils, each containing 6 pencils. How many pencils does Sara have in total?",18,multiplication
"If Jay had 23 books and got another 14 books, how many books does Jay have now?",37,addition
"If Mia had 82 pencils and gave away 18, how many pencils does Mia have left?",64,subtraction
"If Ava had 15 balls and gave away 11, how many balls does Ava have left?",4,subtraction
"If Noah had 46 books and gave away 43, how many books does Noah have left?",3,subtraction
"If Sara had 27 apples and got another 39 apples, how many apples does Sara have now?",66,addition
"Mia has 7 boxes of coins, each containing 8 coins. How many coins does Mia have in total?",56,multiplication
"Liam has 3 boxes of apples, each containing 3 apples. How many apples does Liam have in total?",9,multiplication
"Sara has 11 boxes of pencils, each containing 8 pencils. How many pencils does Sara have in total?",88,multiplication
Sara has 45 coins and wants to divide them equally among 5 friends. How many coins does each friend get?,9,division
"If Mia had 40 marbles and gave away 19, how many marbles does Mia have left?",21,subtraction
Liam has 40 books and wants to divide them equally among 8 friends. How many books does each friend get?,5,division
"If Jay had 98 pencils and gave away 37, how many pencils does Jay have left?",61,subtraction
"If Ethan had 32 marbles and gave away 32, how many marbles does Ethan have left?",0,subtraction
"If Ethan had 99 pencils and gave away 80, how many pencils does Ethan have left?",19,subtraction
"Mia has 6 boxes of coins, each containing 9 coins. How many coins does Mia have in total?",54,multiplication
"If Sara had 59 coins and gave away 29, how many coins does Sara have left?",30,subtraction
"Ethan has 6 boxes of pencils, each containing 10 pencils. How many pencils does Ethan have in total?",60,multiplication
"If Ethan had 43 oranges and gave away 33, how many oranges does Ethan have left?",10,subtraction
"If Emma had 26 books and gave away 15, how many books does Emma have left?",11,subtraction
Liam has 56 marbles and wants to divide them equally among 7 friends. How many marbles does each friend get?,8,division
"If Ava had 63 marbles and gave away 1, how many marbles does Ava have left?",62,subtraction
"Sara has 5 boxes of oranges, each containing 12 oranges. How many oranges does Sara have in total?",60,multiplication
Jay has 42 coins and wants to divide them equally among 7 friends. How many coins does each friend get?,6,division
Noah has 70 apples and wants to divide them equally among 7 friends. How many apples does each friend get?,10,division
"If Emma had 18 pencils and got another 41 pencils, how many pencils does Emma have now?",59,addition
"Liam has 8 boxes of apples, each containing 12 apples. How many apples does Liam have in total?",96,multiplication
"If Noah had 4 candies and got another 33 candies, how many candies does Noah have now?",37,addition
"If Ava had 27 coins and gave away 10, how many coins does Ava have left?",17,subtraction
"If Ava had 43 balls and got another 20 balls, how many balls does Ava have now?",63,addition
"If Ava had 100 balls and gave away 52, how many balls does Ava have left?",48,subtraction
"If Noah had 36 balls and gave away 26, how many balls does Noah have left?",10,subtraction
"If Mia had 31 balls and got another 29 balls, how many balls does Mia have now?",60,addition
"If Emma had 49 pencils and got another 23 pencils, how many pencils does Emma have now?",72,addition
"If Noah had 29 oranges and got another 10 oranges, how many oranges does Noah have now?",39,addition
"If Jay had 23 marbles and gave away 8, how many marbles does Jay have left?",15,subtraction
Sara has 60 apples and wants to divide them equally among 10 friends. How many apples does each friend get?,6,division
"Jay has 8 boxes of books, each containing 2 books. How many books does Jay have in total?",16,multiplication
Noah has 12 oranges and wants to divide them equally among 2 friends. How many oranges does each friend get?,6,division
Ethan has 48 coins and wants to divide them equally among 8 friends. How many coins does each friend get?,6,division
"If Sara had 37 candies and got another 5 candies, how many candies does Sara have now?",42,addition
Jay has 14 marbles and wants to divide them equally among 2 friends. How many marbles does each friend get?,7,division
"If Sara had 31 pencils and gave away 5, how many pencils does Sara have left?",26,subtraction
"If Noah had 41 apples and got another 32 apples, how many apples does Noah have now?",73,addition
"Sara has 3 boxes of coins, each containing 6 coins. How many coins does Sara have in total?",18,multiplication
"Liam has 12 boxes of apples, each containing 10 apples. How many apples does Liam have in total?",120,multiplication
"If Emma had 29 marbles and got another 20 marbles, how many marbles does Emma have now?",49,addition
"If Emma had 7 apples and got another 7 apples, how many apples does Emma have now?",14,addition
Liam has 63 candies and wants to divide them equally among 9 friends. How many candies does each friend get?,7,division
"If Liam had 3 balls and got another 19 balls, how many balls does Liam have now?",22,addition
"If Emma had 24 apples and got another 28 apples, how many apples does Emma have now?",52,addition
"If Jay had 12 balls and gave away 10, how many balls does Jay have left?",2,subtraction
"Noah has 7 boxes of pencils, each containing 8 pencils. How many pencils does Noah have in total?",56,multiplication
Sara has 25 marbles and wants to divide them equally among 5 friends. How many marbles does each friend get?,5,division
"If Noah had 18 candies and got another 12 candies, how many candies does Noah have now?",30,addition
"If Ava had 47 pencils and got another 38 pencils, how many pencils does Ava have now?",85,addition
"If Emma had 2 balls and got another 17 balls, how many balls does Emma have now?",19,addition
Mia has 20 oranges and wants to divide them equally among 5 friends. How many oranges does each friend get?,4,division
"If Liam had 47 oranges and got another 32 oranges, how many oranges does Liam have now?",79,addition
Noah has 45 balls and wants to divide them equally among 5 friends. How many balls does each friend get?,9,division
Sara has 21 marbles and wants to divide them equally among 7 friends. How many marbles does each friend get?,3,division
"If Ava had 64 marbles and gave away 25, how many marbles does Ava have left?",39,subtraction
Mia has 20 coins and wants to divide them equally among 4 friends. How many coins does each friend get?,5,division
"Mia has 9 boxes of balls, each containing 7 balls. How many balls does Mia have in total?",63,multiplication
Liam has 63 pencils and wants to divide them equally among 9 friends. How many pencils does each friend get?,7,division
"If Ava had 37 apples and got another 27 apples, how many apples does Ava have now?",64,addition
"If Emma had 100 candies and gave away 75, how many candies does Emma have left?",25,subtraction
"If Mia had 32 oranges and gave away 1, how many oranges does Mia have left?",31,subtraction
"If Ava had 19 books and got another 50 books, how many books does Ava have now?",69,addition
"If Noah had 50 balls and got another 1 balls, how many balls does Noah have now?",51,addition
"If Mia had 85 candies and gave away 41, how many candies does Mia have left?",44,subtraction
"If Emma had 4 candies and got another 10 candies, how many candies does Emma have now?",14,addition
"If Noah had 76 oranges and gave away 52, how many oranges does Noah have left?",24,subtraction
Liam has 16 candies and wants to divide them equally among 4 friends. How many candies does each friend get?,4,division
"If Ava had 45 pencils and gave away 6, how many pencils does Ava have left?",39,subtraction
"If Ethan had 29 coins and gave away 25, how many coins does Ethan have left?",4,subtraction
"Noah has 6 boxes of marbles, each containing 7 marbles. How many marbles does Noah have in total?",42,multiplication
"If Noah had 30 balls and gave away 29, how many balls does Noah have left?",1,subtraction
"Jay has 4 boxes of marbles, each containing 6 marbles. How many marbles does Jay have in total?",24,multiplication
"Mia has 12 boxes of apples, each containing 9 apples. How many apples does Mia have in total?",108,multiplication
"If Emma had 59 apples and gave away 46, how many apples does Emma have left?",13,subtraction
"Emma has 10 boxes of pencils, each containing 11 pencils. How many pencils does Emma have in total?",110,multiplication
"If Jay had 44 coins and got another 20 coins, how many coins does Jay have now?",64,addition
"Ava has 10 boxes of balls, each containing 10 balls. How many balls does Ava have in total?",100,multiplication
"Ethan has 11 boxes of coins, each containing 12 coins. How many coins does Ethan have in total?",132,multiplication
"If Emma had 50 books and got another 42 books, how many books does Emma have now?",92,addition
"Noah has 4 boxes of balls, each containing 4 balls. How many balls does Noah have in total?",16,multiplication
"If Ethan had 74 balls and gave away 57, how many balls does Ethan have left?",17,subtraction
"Emma has 11 boxes of oranges, each containing 7 oranges. How many oranges does Emma have in total?",77,multiplication
"If Jay had 91 oranges and gave away 76, how many oranges does Jay have left?",15,subtraction
Sara has 40 balls and wants to divide them equally among 10 friends. How many balls does each friend get?,4,division
"If Noah had 8 marbles and got another 36 marbles, how many marbles does Noah have now?",44,addition
"If Mia had 29 apples and gave away 5, how many apples does Mia have left?",24,subtraction
Mia has 60 coins and wants to divide them equally among 10 friends. How many coins does each friend get?,6,division
"Liam has 11 boxes of candies, each containing 8 candies. How many candies does Liam have in total?",88,multiplication
"Jay has 3 boxes of candies, each containing 12 candies. How many candies does Jay have in total?",36,multiplication
"If Jay had 76 coins and gave away 43, how many coins does Jay have left?",33,subtraction
"If Ethan had 29 oranges and gave away 24, how many oranges does Ethan have left?",5,subtraction
"If Emma had 97 books and gave away 11, how many books does Emma have left?",86,subtraction
"If Mia had 86 pencils and gave away 85, how many pencils does Mia have left?",1,subtraction
"Jay has 5 boxes of pencils, each containing 5 pencils. How many pencils does Jay have in total?",25,multiplication
Mia has 18 coins and wants to divide them equally among 9 friends. How many coins does each friend get?,2,division
"If Sara had 15 pencils and gave away 12, how many pencils does Sara have left?",3,subtraction
"Ethan has 12 boxes of marbles, each containing 7 marbles. How many marbles does Ethan have in total?",84,multiplication
Liam has 40 marbles and wants to divide them equally among 5 friends. How many marbles does each friend get?,8,division
"If Sara had 37 pencils and got another 43 pencils, how many pencils does Sara have now?",80,addition
"Mia has 3 boxes of pencils, each containing 8 pencils. How many pencils does Mia have in total?",24,multiplication
Sara has 49 pencils and wants to divide them equally among 7 friends. How many pencils does each friend get?,7,division
"If Sara had 26 books and got another 5 books, how many books does Sara have now?",31,addition
"If Jay had 94 pencils and gave away 41, how many pencils does Jay have left?",53,subtraction
